출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
B,30103,곽뱅어,91,50,82,27,37
B,30122,성붕어,70,32,64,20,25
B,30130,차우럭,87,77,91,34,28
B,30204,주잉어,69,44,84,19,24
B,30205,우뽈락,84,54,54,41,39
B,30214,김멍게,85,75,88,18,20
B,30215,신해삼,81,73,67,25,23
B,30219,임방어,37,18,53,18,18
B,30307,전연어,90,50,50,39,43
B,30310,홍아귀,82,78,72,14,20
B,30316,유장어,92,72,91,40,41
B,30318,진전어,66,75,43,24,23
B,30413,나홍어,67,27,50,12,18
B,30415,김거위,65,55,45,14,23
B,30419,정타조,100,85,85,46,46
B,30503,박매,98,62,79,39,41
B,30513,최황새,82,72,50,20,30
B,30517,이닭,75,85,81,36,21
B,30518,강제비,64,59,86,21,19
B,30606,조멧새,84,55,86,22,29
B,30611,윤원앙,84,70,54,38,30
B,30619,장잉꼬,91,69,76,34,37
B,30627,임솔개,37,9,10,20,15
B,30704,심황태,79,77,91,39,47
B,30710,노도미,77,17,47,41,39
B,30714,정농어,59,76,61,26,23
