출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
C,30110,강동원,69,40,68,34,19
C,30115,강문영,59,70,73,23,29
C,30116,고소영,75,45,63,13,29
C,30123,공유,83,54,79,41,36
C,30202,김숙,96,66,87,35,47
C,30206,문채원,84,54,62,50,44
C,30210,배수지,65,49,54,28,34
C,30214,배용준,75,65,51,27,31
C,30302,신성일,69,43,73,41,29
C,30310,신세경,92,88,73,31,23
C,30328,안성기,82,59,57,21,33
C,30419,유아인,79,76,86,42,44
C,30430,유재석,82,73,61,24,11
C,30506,이수근,53,63,63,11,10
C,30507,이승기,100,74,82,41,35
C,30513,이효리,98,74,95,50,34
C,30518,정형돈,92,72,82,31,28
C,30522,최민수,75,46,68,11,21
C,30527,최지우,87,84,89,40,41
C,30605,한석규,69,54,62,15,29
C,30612,강석우,84,84,94,44,36
C,30620,강수연,63,54,44,20,22
C,30623,고두심,83,54,57,17,36
C,30710,권상우,70,73,61,11,14
C,30721,김구라,94,51,89,35,39
C,30728,김성주,100,67,85,38,37
C,30805,지상렬,92,96,69,47,38
C,30807,박주미,91,57,73,31,28
C,30820,소지섭,53,74,38,23,27
C,30905,손예진,97,84,86,38,30
C,30906,신민아,80,69,68,39,36
C,30912,신영균,86,89,50,36,33
C,30919,유승호,62,53,59,11,15
