출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
D,30109,김국진,81,88,81,35,35
D,30124,김민종,66,7,77,23,34
D,30206,김태희,69,30,80,16,32
D,30212,문근영,83,92,82,38,40
D,30218,박신혜,96,80,89,39,44
D,30225,송은이,49,35,20,20,24
D,30226,안정환,84,84,81,48,47
D,30301,양세형,78,66,81,30,38
D,30311,원빈,93,32,54,38,31
D,30406,이민호,54,30,52,24,19
D,30411,이정재,82,14,81,32,35
D,30420,장미희,97,88,86,44,44
D,30509,장동건,89,59,82,39,42
D,30513,이순재,76,50,74,32,35
D,30522,전현무,85,25,98,16,42
D,30528,지석진,88,84,83,39,37
D,30609,차승원,68,43,71,22,39
D,30614,차태현,97,76,86,39,40
D,30617,채시라,50,20,37,40,18
D,30627,하희라,49,14,69,28,17
D,30701,장근석,71,17,85,31,26
D,30712,장혁,50,22,71,24,21
D,30724,전지현,84,63,64,24,40
D,30725,조세호,88,77,68,36,34
D,30727,한예슬,70,18,70,32,18
D,30804,한채영,86,60,68,31,37
D,30810,현빈,80,57,64,38,42
D,30816,김용만,87,55,55,50,50
D,30820,김성령,74,53,59,26,40
D,30903,김신영,80,33,62,15,32
D,30906,김준현,32,32,48,18,18
