출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
F,30102,이미연,84,74,61,32,37
F,30118,이상민,84,12,73,38,10
F,30124,이영애,82,70,68,34,34
F,30130,이정길,64,13,92,14,6
F,30203,이휘재,65,71,56,44,44
F,30210,조인성,87,42,86,47,41
F,30217,차인표,93,16,79,50,37
F,30230,최수지,76,26,83,44,37
F,30313,한지민,100,48,98,34,35
F,30318,강호동,73,27,59,44,28
F,30326,김건모,87,88,92,45,43
F,30329,김남주,76,72,60,41,47
F,30405,김미숙,88,92,80,37,29
F,30406,김병만,84,96,79,42,45
F,30409,김우빈,58,24,48,45,22
F,30412,남궁원,76,17,89,34,16
F,30415,신동엽,76,55,76,28,44
F,30417,심은하,85,76,83,38,40
F,30420,이나영,50,20,70,37,16
F,30501,이병헌,72,65,87,35,25
F,30527,이서진,86,43,67,33,47
F,30618,이영하,88,60,70,46,40
F,30723,이종석,70,36,63,16,24
F,30812,정준하,82,18,64,31,34
F,30818,지창욱,75,36,71,39,27
F,30830,최재성,62,31,86,27,33
F,30902,황신혜,76,15,75,30,28
F,30903,김수현,75,71,92,44,48
F,30907,김종민,62,34,62,46,26
F,30914,김혜수,81,31,60,38,28
F,30920,김희선,94,84,80,44,45
F,30924,김희애,56,15,66,36,12
