출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
G,30701,정우성,92,92,80,36,47
G,30702,주진모,58,22,64,32,26
G,30703,최불암,23,21,21,18,20
G,30704,최수종,65,38,53,39,32
G,30705,하정우,51,62,81,27,34
G,30706,김준호,64,37,44,30,30
G,30707,김혜자,90,50,69,30,30
G,30708,데프콘,71,24,84,32,12
G,30709,박나래,80,73,80,37,38
G,30710,박수홍,81,88,80,45,48
G,30711,서장훈,91,77,84,30,30
G,30712,송승헌,70,47,82,32,30
G,30713,양세찬,69,24,50,34,8
G,30714,유병재,72,89,73,41,38
G,30715,이경규,58,41,63,21,18
G,30716,이광수,64,58,59,31,27
G,30717,이연희,78,22,84,40,48
G,30718,전인화,90,73,79,40,38
G,30719,정윤희,57,64,59,27,29
G,30720,한진희,79,58,83,41,40
G,30721,김현주,95,77,68,45,42
G,30722,하지원,98,94,91,45,45
G,30723,고수,61,19,71,29,18
G,30724,고현정,84,39,80,44,39
G,30726,김지미,77,11,76,26,16
G,30727,김하늘,73,26,55,31,30
G,30728,노주현,71,40,94,34,30
G,30729,문희,65,35,62,35,25
G,30730,박명수,80,59,81,32,45
G,30731,송일국,85,83,86,41,41
G,30732,유동근,58,32,67,14,12
G,30733,이국주,79,62,98,27,15
