출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
H,30801,강호동,46,12,41,31,15
H,30802,김건모,45,15,36,13,5
H,30803,김남주,83,13,61,26,34
H,30804,김미숙,85,40,77,44,35
H,30805,김병만,87,61,79,28,41
H,30806,김우빈,87,17,100,40,33
H,30807,남궁원,92,88,87,43,45
H,30808,신동엽,87,92,89,50,49
H,30809,심은하,90,61,70,41,38
H,30810,이나영,92,79,76,44,41
H,30811,이병헌,85,42,42,48,47
H,30812,이서진,91,67,84,33,38
H,30813,이영하,73,83,76,44,37
H,30814,이종석,79,70,65,46,39
H,30815,정준하,63,27,74,28,34
H,30816,지창욱,75,17,94,44,38
H,30817,최재성,49,22,46,13,12
H,30818,황신혜,67,55,57,32,22
H,30819,김수현,84,27,48,32,38
H,30820,김종민,77,65,60,48,36
H,30821,김혜수,41,17,14,37,14
H,30822,김희선,70,26,67,30,29
H,30823,김희애,91,29,79,48,44
H,30824,박근형,83,67,71,30,31
H,30825,박해진,71,46,49,29,37
H,30826,송중기,68,48,66,42,35
H,30827,송혜교,86,51,81,44,44
H,30828,수애,87,55,55,50,50
H,30829,유지인,74,53,59,26,40
H,30731,윤정희,85,83,86,41,41
H,30732,이민정,58,32,67,14,12
H,30733,이영자,79,62,98,27,15
