출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
I,30103,이물개,72,45,65,12,28
I,30117,최표범,85,56,49,20,21
I,30130,김팬더,89,56,71,20,28
I,30205,조사자,78,57,75,35,42
I,30210,오참새,67,21,47,18,22
I,30213,김토끼,65,44,44,25,27
I,30228,김돼지,54,34,57,16,15
I,30320,최낙타,84,69,75,22,26
I,30324,정악어,73,38,49,9,11
I,30404,윤늑대,64,62,67,15,12
I,30411,오염소,63,37,58,15,13
I,30418,박사슴,76,68,58,28,24
I,30425,박물범,95,80,94,40,44
I,30515,황기린,76,67,70,35,37
I,30526,정펭귄,52,61,42,26,25
I,30527,최하마,80,47,64,26,21
I,30528,김수달,76,70,71,24,23
I,30617,정해달,80,88,64,31,22
I,30618,박여우,81,88,69,37,31
I,30621,박상어,74,51,65,31,27
I,30625,김백조,78,64,83,37,28
I,30711,문벌새,77,41,71,20,21
I,30715,유거미,95,81,78,45,39
I,30716,황고래,75,88,90,11,20
I,30801,최불곰,92,77,74,20,33
I,30812,김거북,80,93,90,49,50
I,30817,김곰,81,66,45,19,34
I,30819,최용,89,79,73,25,32
I,30826,박쉬리,67,65,54,10,13
I,30829,원곰치,77,67,82,26,27
