출신고교,학번,이름,국어,수학,영어,과탐1,과탐2
J,30112,전병관,67,47,84,37,34
J,30116,전이경,96,88,78,38,49
J,30127,정지현,75,73,67,40,27
J,30206,조민선,95,74,71,30,45
J,30227,조윤정,88,88,80,44,47
J,30309,조해리,84,22,82,31,36
J,30323,진종오,70,5,66,45,27
J,30410,최민경,88,61,63,36,27
J,30415,최민호,82,57,61,22,40
J,30420,최현주,81,44,93,48,43
J,30425,현정화,57,21,84,24,33
J,30522,홍정호,88,50,65,26,39
J,30526,황영조,76,53,94,34,26
J,30528,김은정,81,67,98,37,42
J,30602,김경애,89,43,97,44,32
J,30605,김선영,77,54,85,32,32
J,30613,김영미,62,17,69,30,23
J,30623,김초희,95,76,78,38,39
J,30628,손흥민,84,59,79,40,19
J,30718,황희찬,85,57,76,50,35
J,30720,이승우,98,88,89,37,50
J,30726,기성용,75,52,94,27,21
J,30806,황의조,79,55,94,31,26
J,30812,조현우,68,33,86,33,25
J,30814,이강인,73,56,65,28,26
J,30818,박주호,69,27,79,21,17
J,30824,김영권,88,85,84,38,47
J,30907,김승규,79,20,94,35,37
J,30912,이재성,74,53,59,26,40
J,30920,김신욱,85,83,86,41,41
J,30926,이용,58,32,67,14,12
J,30927,이청용,79,62,98,27,15
